ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
11.05,104.7,Jared Goff,QB,DET,384,10.9,76,143,6
11.05,105.0,Amari Cooper,WR,CLE,145,7.7,85,122,9
11.06,105.7,Melvin Gordon,RB,DEN,177,6.0,90,121,9
11.06,106.2,Baker Mayfield,QB,CAR,381,12.2,74,142,13
11.06,106.3,Cordarrelle Patterson,WR,ATL,266,8.6,84,121,14
11.07,106.5,James Cook,RB,BUF,204,8.4,84,125,7
11.10,109.9,James Robinson,RB,JAX,123,7.2,91,130,11
11.10,109.9,Brandon Aiyuk,WR,SF,319,7.6,90,130,9
12.02,111.9,Alexander Mattison,RB,MIN,114,7.5,92,138,7
12.03,113.3,Elijah Moore,WR,NYJ,286,8.3,91,135,10
12.05,115.3,Marcus Mariota,QB,ATL,192,14.2,78,150,14
12.06,115.7,DeVonta Smith,WR,PHI,247,9.3,91,148,7
12.07,117.1,Robert Woods,WR,TEN,227,8.8,94,150,6
12.08,117.6,Nyheim Hines,RB,IND,125,8.2,96,147,14
12.08,117.9,Darrell Henderson,RB,LAR,218,8.1,97,146,7
12.10,119.9,Zach Wilson,QB,NYJ,177,12.5,87,150,10
12.10,120.0,Drake London,WR,ATL,250,9.4,95,150,14
13.01,121.1,Davis Mills,QB,HOU,245,13.1,87,150,6
13.02,121.7,Christian Kirk,WR,JAX,409,11.5,91,150,11
13.02,122.5,Buffalo Defense,DEF,BUF,425,14.2,85,156,7
13.04,124.5,Michael Carter,RB,NYJ,146,10.2,97,150,10
13.05,125.1,Pat Freiermuth,TE,PIT,195,14.3,87,150,9
13.06,125.8,Tyler Allgeier,RB,ATL,107,12.1,94,150,14
13.07,126.9,Chris Olave,WR,NO,288,9.8,101,150,14
13.08,128.0,Mitch Trubisky,QB,PIT,103,17.4,85,179,9
13.08,128.0,Cole Kmet,TE,CHI,307,12.9,94,166,14
13.08,128.1,Kadarius Toney,WR,NYG,216,10.0,102,150,9
13.09,129.1,Brian Robinson Jr.,RB,WAS,92,10.0,105,147,14
13.10,129.9,Isaiah Spiller,RB,LAC,32,10.3,103,148,8
14.01,130.6,Raheem Mostert,RB,MIA,157,10.8,102,150,11
14.02,131.7,Mike Gesicki,TE,MIA,46,14.5,93,175,11
14.03,132.9,George Pickens,WR,PIT,201,12.0,101,159,9
14.03,133.2,Skyy Moore,WR,KC,107,9.9,107,150,8
14.04,134.0,Russell Gage,WR,TB,42,11.7,104,149,11
14.05,134.6,Justin Tucker,PK,BAL,340,17.3,89,160,10
14.05,134.8,Tyler Lockett,WR,SEA,124,9.7,109,150,11
14.05,134.9,LA Rams Defense,DEF,LAR,149,14.0,98,163,7
14.05,134.9,Isiah Pacheco,RB,KC,142,11.1,106,154,8
14.05,135.0,Kenneth Gainwell,RB,PHI,82,9.7,109,156,7
14.06,136.2,Michael Gallup,WR,DAL,137,10.0,110,168,9
14.07,136.6,Kenny Pickett,QB,PIT,118,13.5,101,179,9
14.07,137.0,Tampa Bay Defense,DEF,TB,191,12.8,103,163,11
14.08,137.7,Tyler Bass,PK,BUF,103,17.2,93,162,7
14.10,139.7,J.D. McKissic,RB,WAS,86,11.0,112,171,14
14.10,140.2,San Francisco Defense,DEF,SF,141,11.3,110,162,9
15.01,141.5,Matt Gay,PK,LAR,74,14.3,104,170,7
15.02,142.2,Jimmy Garoppolo,QB,SF,24,15.4,109,177,9
15.03,142.9,Harrison Butker,PK,KC,67,16.5,99,163,8
15.04,143.5,Daniel Carlson,PK,LV,53,11.2,126,167,6
15.04,143.9,Rachaad White,RB,TB,82,11.7,113,173,11
15.04,144.3,Julio Jones,WR,TB,181,16.3,101,179,11
15.05,144.6,David Njoku,TE,CLE,37,24.6,80,180,9
15.06,145.6,Mark Ingram,RB,NO,40,21.1,93,178,14
15.06,145.9,Treylon Burks,WR,TEN,120,13.3,111,179,6
15.07,147.0,LA Chargers Defense,DEF,LAC,148,12.2,120,170,8
