Rk,Player,Pos,Team,Bye
68,Kirk Cousins,QB,MIN,7
69,James Robinson,RB,JAX,7
70,Diontae Johnson,WR,PIT,7
71,Kenny Golladay,WR,NYG,10
72,Ryan Fitzpatrick,QB,WAS,9
73,Raheem Mostert,RB,SF,6
74,Tyler Lockett,WR,SEA,9
75,Ja'Marr Chase,WR,CIN,10
76,D.J. Moore,WR,CAR,13
77,Javonte Williams,RB,DEN,11
78,Daniel Jones,QB,NYG,10
79,Chase Edmonds,RB,ARI,12
80,Odell Beckham Jr,WR,CLE,13
81,Melvin Gordon,RB,DEN,11
82,Tua Tagovailoa,QB,MIA,14
83,Brandon Aiyuk,WR,SF,6
84,Damien Harris,RB,NE,14
85,Logan Thomas,TE,WAS,9
86,Leonard Fournette,RB,TB,9
87,Tee Higgins,WR,CIN,10
88,Noah Fant,TE,DEN,11
89,Justin Fields,QB,CHI,10
90,Ben Roethlisberger,QB,PIT,7
91,D.J. Chark,WR,JAX,7
92,Chase Claypool,WR,PIT,7
93,Michael Carter,RB,NYJ,6
94,Ronald Jones II,RB,TB,9
95,Darrell Henderson,RB,LAR,11
96,Deshaun Watson,QB,HOU,10
97,Dallas Goedert,TE,PHI,14
98,DeVonta Smith,WR,PHI,14
99,Derek Carr,QB,LV,8
100,James Conner,RB,ARI,12
101,Courtland Sutton,WR,DEN,11
102,Deebo Samuel,WR,SF,6
103,Trey Sermon,RB,SF,6
104,A.J. Dillon,RB,GB,13
105,JuJu Smith-Schuster,WR,PIT,7
106,Sam Darnold,QB,CAR,13
107,Michael Pittman Jr.,WR,IND,14
108,David Johnson,RB,HOU,10
109,Zack Moss,RB,BUF,7
110,Trey Lance,QB,SF,6
111,Robby Anderson,WR,CAR,13
112,Jerry Jeudy,WR,DEN,11
113,Hunter Henry,TE,NE,14
114,Pittsburgh Defense,DEF,PIT,7
115,Antonio Brown,WR,TB,9
116,Devin Singletary,RB,BUF,7
117,Tyler Boyd,WR,CIN,10
118,Kenyan Drake,RB,LV,8
119,LA Rams Defense,DEF,LAR,11
120,Jameis Winston,QB,NO,6
121,Gus Edwards,RB,BAL,8
122,Will Fuller,WR,MIA,14
123,Rob Gronkowski,TE,TB,9
124,Washington Defense,DEF,WAS,9
125,Justin Tucker,PK,BAL,8
126,Phillip Lindsay,RB,HOU,10
127,Tampa Bay Defense,DEF,TB,9
128,Cam Newton,QB,NE,14
129,Irv Smith Jr.,TE,MIN,7
130,Tony Pollard,RB,DAL,7
131,Taysom Hill,QB,NO,6
132,Cole Beasley,WR,BUF,7
133,Robert Tonyan Jr.,TE,GB,13
134,Jarvis Landry,WR,CLE,13
135,Tevin Coleman,RB,NYJ,6
136,Zach Wilson,QB,NYJ,6
137,Chuba Hubbard,RB,CAR,13
138,Younghoe Koo,PK,ATL,6
139,Adam Trautman,TE,NO,6
140,Tyler Higbee,TE,LAR,11
141,Jared Goff,QB,DET,9
142,Jonnu Smith,TE,NE,14
143,Laviska Shenault Jr.,WR,JAX,7
144,Jared Cook,TE,LAC,7
145,Mark Ingram,RB,HOU,10
146,Buffalo Defense,DEF,BUF,7
147,Brandin Cooks,WR,HOU,10
148,Nyheim Hines,RB,IND,14
149,Harrison Butker,PK,KC,12
150,Mike Williams,WR,LAC,7
151,Russell Gage,WR,ATL,6
152,Evan Engram,TE,NYG,10
153,J.D. McKissic,RB,WAS,9
154,Michael Gallup,WR,DAL,7
155,Elijah Moore,WR,NYJ,6
156,Mike Gesicki,TE,MIA,14
157,Curtis Samuel,WR,WAS,9
158,Indianapolis Defense,DEF,IND,14
159,Jimmy Garoppolo,QB,SF,6
160,Giovani Bernard,RB,TB,9
161,Latavius Murray,RB,NO,6
162,Marquise Brown,WR,BAL,8
163,Greg Zuerlein,PK,DAL,7
164,Denver Defense,DEF,DEN,11
165,Baltimore Defense,DEF,BAL,8
166,Gerald Everett,TE,SEA,9
167,Alexander Mattison,RB,MIN,7
168,A.J. Green,WR,ARI,12
169,New England Defense,DEF,NE,14
170,Mecole Hardman,WR,KC,12
171,Jamaal Williams,RB,DET,9
172,Mac Jones,QB,NE,14
173,Jaylen Waddle,WR,MIA,14
174,Jason Sanders,PK,MIA,14
175,Rodrigo Blankenship,PK,IND,14
176,Henry Ruggs III,WR,LV,8
177,T.Y. Hilton,WR,IND,14
178,Ryan Succop,PK,TB,9
179,Tyler Bass,PK,BUF,7
180,Cleveland Defense,DEF,CLE,13
181,Matt Prater,PK,ARI,12
182,San Francisco Defense,DEF,SF,6
183,Tarik Cohen,RB,CHI,10
184,Tyrod Taylor,QB,HOU,10
185,Matt Gay,PK,LAR,11
186,Jason Myers,PK,SEA,9
187,Daniel Carlson,PK,LV,8
188,Mason Crosby,PK,GB,13
189,Wil Lutz,PK,NO,6
190,Miami Defense,DEF,MIA,14
191,Robbie Gould,PK,SF,6
192,Rashaad Penny,RB,SEA,9
193,Kansas City Defense,DEF,KC,12
194,Cam Akers,RB,LAR,11
