"ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye"
"9.01,80.6,Tyler Lockett,WR,SEA,228,11.4,51,105,5"
"9.02,82.4,James Cook,RB,BUF,415,8.3,60,99,13"
"9.03,82.7,Isiah Pacheco,RB,KC,193,6.9,64,96,10"
"9.04,83.9,Jerry Jeudy,WR,DEN,100,7.5,64,100,9"
"9.05,85.1,Christian Kirk,WR,JAX,154,8.1,64,99,9"
"9.06,86.3,Drake London,WR,ATL,204,8.8,63,103,11"
"9.10,89.8,Brandon Aiyuk,WR,SF,275,7.9,69,107,9"
"10.02,92.5,A.J. Dillon,RB,GB,52,6.7,75,107,6"
"10.03,92.6,Christian Watson,WR,GB,368,10.5,65,112,6"
"10.03,92.8,Marquise Brown,WR,ARI,62,4.9,83,106,14"
"10.03,93.5,Antonio Gibson,RB,WAS,71,5.2,80,102,14"
"10.04,94.4,Pat Freiermuth,TE,PIT,98,8.7,71,113,6"
"10.06,95.8,Ezekiel Elliott,RB,NE,49,21.4,40,113,11"
"10.06,96.2,Rashaad Penny,RB,PHI,35,7.2,80,109,10"
"10.06,96.3,Brandin Cooks,WR,DAL,103,6.9,78,114,7"
"10.07,96.7,Courtland Sutton,WR,DEN,97,7.4,79,116,9"
"10.08,98.4,Brian Robinson Jr.,RB,WAS,92,5.6,83,113,14"
"10.10,99.7,Jamaal Williams,RB,NO,75,8.2,78,119,11"
"10.10,99.9,Kenny Pickett,QB,PIT,414,16.4,57,138,6"
"11.02,101.5,George Pickens,WR,PIT,282,10.8,73,124,6"
"11.02,101.8,Khalil Herbert,RB,CHI,345,9.6,76,121,13"
"11.03,103.1,David Njoku,TE,CLE,179,11.7,74,145,5"
"11.04,104.0,Tyler Allgeier,RB,ATL,46,13.7,68,125,11"
"11.05,104.8,Jaxon Smith-Njigba,WR,SEA,97,8.2,87,135,5"
"11.06,105.8,Brock Purdy,QB,SF,257,16.3,63,150,9"
"11.06,106.0,Jordan Addison,WR,MIN,209,8.5,83,128,13"
"11.07,107.1,Gabriel Davis,WR,BUF,119,10.7,79,123,13"
"11.09,108.6,Jimmy Garoppolo,QB,LV,134,15.5,68,148,13"
"11.09,108.8,Treylon Burks,WR,TEN,33,7.5,89,125,7"
"11.09,109.0,Rashod Bateman,WR,BAL,43,6.7,97,125,13"
"11.10,109.6,Evan Engram,TE,JAX,130,17.3,64,148,9"
"12.02,112.4,Jahan Dotson,WR,WAS,302,12.0,81,133,14"
"12.03,112.8,Raheem Mostert,RB,MIA,217,8.9,89,148,10"
"12.04,113.9,Jordan Love,QB,GB,248,14.0,77,149,6"
"12.04,114.1,Damien Harris,RB,BUF,32,5.5,101,124,13"
"12.07,117.0,Elijah Mitchell,RB,SF,76,8.8,94,149,9"
"12.08,117.8,JuJu Smith-Schuster,WR,NE,60,9.6,100,145,11"
"12.08,118.4,Darnell Mooney,WR,CHI,24,9.8,109,145,13"
"12.10,120.0,Dalton Schultz,TE,HOU,49,14.7,84,148,7"
"13.04,124.1,Michael Thomas,WR,NO,161,12.5,94,150,11"
"13.04,124.3,San Francisco Defense,DEF,SF,305,14.4,86,156,9"
"13.05,125.1,Jerick McKinnon,RB,KC,78,12.2,101,149,10"
"13.05,125.3,Mac Jones,QB,NE,33,11.6,99,148,11"
"13.05,125.3,Elijah Moore,WR,CLE,110,16.7,81,150,5"
"13.06,125.6,Sam Howell,QB,WAS,182,14.0,89,150,14"
"13.07,127.0,Kenneth Gainwell,RB,PHI,60,9.7,107,148,10"
"13.07,127.4,Samaje Perine,RB,DEN,141,11.2,98,150,9"
"13.08,127.5,Jakobi Meyers,WR,LV,28,11.6,98,148,13"
"13.08,127.9,Kadarius Toney,WR,KC,91,12.5,95,150,10"
"13.10,129.5,Devin Singletary,RB,HOU,19,12.6,107,147,7"
"13.10,129.7,Skyy Moore,WR,KC,164,13.2,95,155,10"
"13.10,130.4,Allen Lazard,WR,NYJ,46,19.2,80,147,7"
"14.01,130.8,Ryan Tannehill,QB,TEN,37,14.3,93,150,7"
