Rk,Player,Pos,Team,Bye
78,Kenny Golladay,WR,NYG,10
79,Michael Carter,RB,NYJ,6
80,A.J. Dillon,RB,GB,13
81,DeVonta Smith,WR,PHI,14
82,Matthew Stafford,QB,LAR,11
83,Jerry Jeudy,WR,DEN,11
84,Logan Thomas,TE,WAS,9
85,Courtland Sutton,WR,DEN,11
86,Leonard Fournette,RB,TB,9
87,Antonio Brown,WR,TB,9
88,Dallas Goedert,TE,PHI,14
89,James Conner,RB,ARI,12
90,Robert Tonyan Jr.,TE,GB,13
91,JuJu Smith-Schuster,WR,PIT,7
92,D.J. Chark,WR,JAX,7
93,Ryan Tannehill,QB,TEN,13
94,Devin Singletary,RB,BUF,7
95,Jalen Hurts,QB,PHI,14
96,Robby Anderson,WR,CAR,13
97,Deebo Samuel,WR,SF,6
98,David Johnson,RB,HOU,10
99,Gus Edwards,RB,BAL,8
100,Tyler Boyd,WR,CIN,10
101,Michael Pittman Jr.,WR,IND,14
102,Kenyan Drake,RB,LV,8
103,Jamaal Williams,RB,DET,9
104,Joe Burrow,QB,CIN,10
105,Laviska Shenault Jr.,WR,JAX,7
106,Tony Pollard,RB,DAL,7
107,Pittsburgh Defense,DEF,PIT,7
108,Mike Williams,WR,LAC,7
109,Alexander Mattison,RB,MIN,7
110,Phillip Lindsay,RB,HOU,10
111,Mecole Hardman,WR,KC,12
112,LA Rams Defense,DEF,LAR,11
113,Jarvis Landry,WR,CLE,13
114,Jaylen Waddle,WR,MIA,14
115,Hunter Henry,TE,NE,14
116,Will Fuller,WR,MIA,14
117,Noah Fant,TE,DEN,11
118,Washington Defense,DEF,WAS,9
119,Latavius Murray,RB,NO,6
120,Tampa Bay Defense,DEF,TB,9
121,Brandin Cooks,WR,HOU,10
122,Matt Ryan,QB,ATL,6
123,Trevor Lawrence,QB,JAX,7
124,Marquise Brown,WR,BAL,8
125,Darnell Mooney,WR,CHI,10
126,Mike Gesicki,TE,MIA,14
127,Chuba Hubbard,RB,CAR,13
128,Xavier Jones,RB,LAR,11
129,Trey Lance,QB,SF,6
130,Corey Davis,WR,NYJ,6
131,Sony Michel,RB,LAR,11
132,Rashaad Penny,RB,SEA,9
133,Baltimore Defense,DEF,BAL,8
134,Marquez Callaway,WR,NO,6
135,Deshaun Watson,QB,HOU,10
136,Nyheim Hines,RB,IND,14
137,Tevin Coleman,RB,NYJ,6
138,Henry Ruggs III,WR,LV,8
139,Baker Mayfield,QB,CLE,13
140,Tyler Higbee,TE,LAR,11
141,Michael Gallup,WR,DAL,7
142,Justin Fields,QB,CHI,10
143,Harrison Butker,PK,KC,12
144,San Francisco Defense,DEF,SF,6
145,Marvin Jones,WR,JAX,7
146,Elijah Moore,WR,NYJ,6
147,J.D. McKissic,RB,WAS,9
148,Indianapolis Defense,DEF,IND,14
149,Curtis Samuel,WR,WAS,9
150,Evan Engram,TE,NYG,10
151,Justin Tucker,PK,BAL,8
152,T.Y. Hilton,WR,IND,14
153,Tyler Bass,PK,BUF,7
154,Pat Freiermuth,TE,PIT,7
155,Younghoe Koo,PK,ATL,6
156,Mark Ingram,RB,HOU,10
157,Buffalo Defense,DEF,BUF,7
158,Marlon Mack,RB,IND,14
159,Jason Sanders,PK,MIA,14
160,Giovani Bernard,RB,TB,9
161,Rhamondre Stevenson,RB,NE,14
162,Rodrigo Blankenship,PK,IND,14
163,Ryan Succop,PK,TB,9
164,Darrynton Evans,RB,TEN,13
165,Ben Roethlisberger,QB,PIT,7
166,Irv Smith Jr.,TE,MIN,7
167,Jared Cook,TE,LAC,7
168,Jonnu Smith,TE,NE,14
169,Bryan Edwards,WR,LV,8
170,Adam Trautman,TE,NO,6
171,Kirk Cousins,QB,MIN,7
172,New England Defense,DEF,NE,14
173,Greg Zuerlein,PK,DAL,7
174,Matt Prater,PK,ARI,12
175,Ty Johnson,RB,NYJ,6
176,Rashod Bateman,WR,BAL,8
177,Derek Carr,QB,LV,8
178,Tua Tagovailoa,QB,MIA,14
179,Marquez Valdes-Scantling,WR,GB,13
180,Darrel Williams,RB,KC,12
181,Ryan Fitzpatrick,QB,WAS,9
182,Zach Ertz,TE,PHI,14
183,Jakobi Meyers,WR,NE,14
184,Denver Defense,DEF,DEN,11
185,Jameis Winston,QB,NO,6
186,Cole Kmet,TE,CHI,10
187,Rondale Moore,WR,ARI,12
188,Devontae Booker,RB,NYG,10
189,Cleveland Defense,DEF,CLE,13
190,Malcolm Brown,RB,MIA,14
191,James White,RB,NE,14
192,Minnesota Defense,DEF,MIN,7
193,A.J. Green,WR,ARI,12
194,Russell Gage,WR,ATL,6
195,Gabriel Davis,WR,BUF,7
196,Jerick McKinnon,RB,KC,12
197,Gerald Everett,TE,SEA,9
198,Justin Jackson,RB,LAC,7
199,Terrace Marshall Jr.,WR,CAR,13
200,Zach Wilson,QB,NYJ,6
201,Matt Gay,PK,LAR,11
202,Randall Cobb,WR,GB,13
203,Jaret Patterson,RB,WAS,9
204,Damien Williams,RB,CHI,10
205,Cole Beasley,WR,BUF,7
206,DeVante Parker,WR,MIA,14
207,Nelson Agholor,WR,NE,14
208,Carson Wentz,QB,IND,14
209,Emmanuel Sanders,WR,BUF,7
210,Kansas City Defense,DEF,KC,12
211,Miami Defense,DEF,MIA,14
212,Mason Crosby,PK,GB,13
213,Amon-Ra St. Brown,WR,DET,9
214,Mac Jones,QB,NE,14
215,Daniel Carlson,PK,LV,8
216,Kenneth Gainwell,RB,PHI,14
217,Chicago Defense,DEF,CHI,10
218,Brandon McManus,PK,DEN,11
219,Jason Myers,PK,SEA,9
220,LA Chargers Defense,DEF,LAC,7
221,Michael Badgley,PK,LAC,7
222,Robbie Gould,PK,SF,6
223,Chris Boswell,PK,PIT,7
224,Wil Lutz,PK,NO,6
