Rk,Player,Pos,Team,Bye
1,Saquon Barkley,RB,NYG,11
2,Christian McCaffrey,RB,CAR,7
3,Alvin Kamara,RB,NO,9
4,DeAndre Hopkins,WR,HOU,10
5,Ezekiel Elliott,RB,DAL,8
6,Nick Chubb,RB,CLE,7
7,James Conner,RB,PIT,7
8,LeVeon Bell,RB,NYJ,4
9,Davante Adams,WR,GB,11
10,Dalvin Cook,RB,MIN,12
11,Todd Gurley,RB,LAR,9
12,David Johnson,RB,ARI,12
13,Julio Jones,WR,ATL,9
14,Michael Thomas,WR,NO,9
15,Tyreek Hill,WR,KC,12
16,Odell Beckham Jr,WR,CLE,7
17,JuJu Smith-Schuster,WR,PIT,7
18,Joe Mixon,RB,CIN,9
19,Pat Mahomes,QB,KC,12
20,Travis Kelce,TE,KC,12
21,Leonard Fournette,RB,JAX,10
22,Mike Evans,WR,TB,7
23,Chris Carson,RB,SEA,11
24,Antonio Brown,WR,OAK,6
25,Aaron Jones,RB,GB,11
26,Adam Thielen,WR,MIN,12
27,Kerryon Johnson,RB,DET,5
28,Damien Williams,RB,KC,12
29,Keenan Allen,WR,LAC,12
30,David Montgomery,RB,CHI,6
31,Josh Jacobs,RB,OAK,6
32,Devonta Freeman,RB,ATL,9
33,George Kittle,TE,SF,4
34,Sony Michel,RB,NE,10
35,Amari Cooper,WR,DAL,8
36,Derrick Henry,RB,TEN,11
37,Stefon Diggs,WR,MIN,12
38,Mark Ingram,RB,BAL,8
39,Zach Ertz,TE,PHI,10
40,Brandin Cooks,WR,LAR,9
41,Marlon Mack,RB,IND,6
42,Tyler Lockett,WR,SEA,11
43,Melvin Gordon,RB,LAC,12
44,Robert Woods,WR,LAR,9
45,Deshaun Watson,QB,HOU,10
46,Chris Godwin,WR,TB,7
47,Julian Edelman,WR,NE,10
48,Phillip Lindsay,RB,DEN,10
49,Tevin Coleman,RB,SF,4
50,Josh Gordon,WR,NE,10
51,Cooper Kupp,WR,LAR,9
52,Miles Sanders,RB,PHI,10
53,T.Y. Hilton,WR,IND,6
54,Kenny Golladay,WR,DET,5
55,Aaron Rodgers,QB,GB,11
56,Austin Ekeler,RB,LAC,12
57,Mike Williams,WR,LAC,12
58,Duke Johnson,RB,HOU,10
59,O.J. Howard,TE,TB,7
60,Calvin Ridley,WR,ATL,9
61,Baker Mayfield,QB,CLE,7
62,Derrius Guice,RB,WAS,10
63,Evan Engram,TE,NYG,11
64,Tyler Boyd,WR,CIN,9
65,A.J. Green,WR,CIN,9
66,Hunter Henry,TE,LAC,12
67,Dede Westbrook,WR,JAX,10
68,Matt Ryan,QB,ATL,9
69,James White,RB,NE,10
70,D.J. Moore,WR,CAR,7
71,Latavius Murray,RB,NO,9
