Rk,Player,Pos,Team,Bye
143,San Francisco Defense,DEF,SF,6
144,Michael Gallup,WR,DAL,7
145,Jeffery Wilson,RB,SF,6
146,DeVante Parker,WR,MIA,14
147,Justin Tucker,PK,BAL,8
148,Corey Davis,WR,NYJ,6
149,Rashaad Penny,RB,SEA,9
150,Buffalo Defense,DEF,BUF,7
151,Younghoe Koo,PK,ATL,6
152,Greg Zuerlein,PK,DAL,7
153,Tyler Higbee,TE,LAR,11
154,Trey Lance,QB,SF,6
155,Noah Fant,TE,DEN,11
156,Rodrigo Blankenship,PK,IND,14
157,Darnell Mooney,WR,CHI,10
158,New England Defense,DEF,NE,14
159,Marvin Jones,WR,JAX,7
160,Jason Sanders,PK,MIA,14
161,Jameis Winston,QB,NO,6
162,Ryan Succop,PK,TB,9
163,Devontae Booker,RB,NYG,10
164,Matt Prater,PK,ARI,12
165,Tyler Bass,PK,BUF,7
166,Justin Fields,QB,CHI,10
167,Marlon Mack,RB,IND,14
168,Wil Lutz,PK,NO,6
169,Irv Smith Jr.,TE,MIN,7
170,Daniel Carlson,PK,LV,8
171,Cleveland Defense,DEF,CLE,13
172,Adam Trautman,TE,NO,6
173,Gerald Everett,TE,SEA,9
174,Kirk Cousins,QB,MIN,7
175,Giovani Bernard,RB,TB,9
176,Zach Ertz,TE,PHI,14
177,James White,RB,NE,14
178,Elijah Moore,WR,NYJ,6
179,Tua Tagovailoa,QB,MIA,14
180,Nelson Agholor,WR,NE,14
181,Javian Hawkins,RB,ATL,6
182,Xavier Jones,RB,LAR,11
183,Justin Jackson,RB,LAC,7
184,Emmanuel Sanders,WR,BUF,7
185,Minnesota Defense,DEF,MIN,7
186,Cam Newton,QB,NE,14
187,Ben Roethlisberger,QB,PIT,7
188,Taysom Hill,QB,NO,6
189,Tarik Cohen,RB,CHI,10
190,Derek Carr,QB,LV,8
191,Darrynton Evans,RB,TEN,13
192,Russell Gage,WR,ATL,6
193,Rashod Bateman,WR,BAL,8
194,A.J. Green,WR,ARI,12
195,Matt Gay,PK,LAR,11
196,Denver Defense,DEF,DEN,11
197,Cole Beasley,WR,BUF,7
198,Jared Cook,TE,LAC,7
199,Gabriel Davis,WR,BUF,7
200,Parris Campbell,WR,IND,14
201,Miami Defense,DEF,MIA,14
202,Sony Michel,RB,NE,14
203,Darrel Williams,RB,KC,12
204,Randall Cobb,WR,GB,13
205,Michael Badgley,PK,LAC,7
