Rk,Player,Pos,Team,Bye
1,Saquon Barkley,RB,NYG,11
2,Alvin Kamara,RB,NO,9
3,Christian McCaffrey,RB,CAR,7
4,Ezekiel Elliott,RB,DAL,8
5,DeAndre Hopkins,WR,HOU,10
6,James Conner,RB,PIT,7
7,Nick Chubb,RB,CLE,7
8,LeVeon Bell,RB,NYJ,4
9,Davante Adams,WR,GB,11
10,Dalvin Cook,RB,MIN,12
11,Julio Jones,WR,ATL,9
12,Todd Gurley,RB,LAR,9
13,Michael Thomas,WR,NO,9
14,Tyreek Hill,WR,KC,12
15,Odell Beckham Jr,WR,CLE,7
16,David Johnson,RB,ARI,12
17,JuJu Smith-Schuster,WR,PIT,7
18,Joe Mixon,RB,CIN,9
19,Travis Kelce,TE,KC,12
20,Pat Mahomes,QB,KC,12
21,Leonard Fournette,RB,JAX,10
22,Mike Evans,WR,TB,7
23,Damien Williams,RB,KC,12
24,Chris Carson,RB,SEA,11
25,Antonio Brown,WR,OAK,6
26,Aaron Jones,RB,GB,11
27,Adam Thielen,WR,MIN,12
28,Kerryon Johnson,RB,DET,5
29,Keenan Allen,WR,LAC,12
30,Josh Jacobs,RB,OAK,6
31,David Montgomery,RB,CHI,6
32,Devonta Freeman,RB,ATL,9
33,George Kittle,TE,SF,4
34,Sony Michel,RB,NE,10
35,Amari Cooper,WR,DAL,8
36,Derrick Henry,RB,TEN,11
37,Stefon Diggs,WR,MIN,12
38,Mark Ingram,RB,BAL,8
39,Zach Ertz,TE,PHI,10
40,Brandin Cooks,WR,LAR,9
41,Melvin Gordon,RB,LAC,12
42,Marlon Mack,RB,IND,6
43,Tyler Lockett,WR,SEA,11
44,Chris Godwin,WR,TB,7
45,Robert Woods,WR,LAR,9
46,Deshaun Watson,QB,HOU,10
47,Julian Edelman,WR,NE,10
48,Phillip Lindsay,RB,DEN,10
49,Tevin Coleman,RB,SF,4
50,Cooper Kupp,WR,LAR,9
51,Miles Sanders,RB,PHI,10
52,Josh Gordon,WR,NE,10
53,T.Y. Hilton,WR,IND,6
54,Kenny Golladay,WR,DET,5
55,Aaron Rodgers,QB,GB,11
56,Mike Williams,WR,LAC,12
57,Austin Ekeler,RB,LAC,12
58,O.J. Howard,TE,TB,7
59,Duke Johnson,RB,HOU,10
60,Calvin Ridley,WR,ATL,9
61,A.J. Green,WR,CIN,9
62,Tyler Boyd,WR,CIN,9
63,Derrius Guice,RB,WAS,10
64,Evan Engram,TE,NYG,11
65,Baker Mayfield,QB,CLE,7
66,Hunter Henry,TE,LAC,12
67,James White,RB,NE,10
68,Matt Ryan,QB,ATL,9
69,Dede Westbrook,WR,JAX,10
70,D.J. Moore,WR,CAR,7
71,Latavius Murray,RB,NO,9
72,Alshon Jeffery,WR,PHI,10
73,Robby Anderson,WR,NYJ,4
74,Carson Wentz,QB,PHI,10
75,Drew Brees,QB,NO,9
76,Allen Robinson,WR,CHI,6
77,Jarvis Landry,WR,CLE,7
78,Darwin Thompson,RB,KC,12
79,Jared Cook,TE,NO,9
80,Kenyan Drake,RB,MIA,5
81,Tony Pollard,RB,DAL,8
82,Will Fuller,WR,HOU,10
83,Matt Breida,RB,SF,4
84,Vance McDonald,TE,PIT,7
85,Tarik Cohen,RB,CHI,6
86,Jared Goff,QB,LAR,9
87,Emmanuel Sanders,WR,DEN,10
88,Curtis Samuel,WR,CAR,7
89,Russell Wilson,QB,SEA,11
90,Chicago Defense,DEF,CHI,6
91,Sammy Watkins,WR,KC,12
92,Christian Kirk,WR,ARI,12
93,Rashaad Penny,RB,SEA,11
94,David Njoku,TE,CLE,7
95,Lamar Jackson,QB,BAL,8
96,Devin Singletary,RB,BUF,6
97,LeSean McCoy,RB,KC,12
98,Darrell Henderson,RB,LAR,9
